,Country_Region,ÃÑÈ®ÁøÀÚ,ÀÏÆò±Õ È®ÁøÀÚ,ÃÑ»ç¸ÁÀÚ,ÀÏÆò±Õ »ç¸ÁÀÚ,missC,nullC,missD,nullD
0,US,34645729,94919.80548,475132,1301.731507,0,0,0,0
1,India,24574870,67328.41096,332492,910.9369863,0,0,0,0
2,Brazil,14610807,40029.60822,424262,1162.361644,0,0,0,0
3,United Kingdom,10521815,28985.71625,82470,225.9452055,2,0,0,0
4,France,7748967,21288.37088,59971,164.3041096,1,0,0,0
5,Turkey,7273898,19928.48767,61480,168.4383562,0,0,0,0
6,Russia,7193058,19707.00822,246400,675.0684932,0,0,0,0
7,Germany,5447352,15006.47934,78321,215.1675824,2,0,1,0
8,Iran,4969259,13614.40822,76383,209.2684932,0,0,0,0
9,Spain,4440910,12233.91185,38568,105.6657534,2,0,0,0
10,Argentina,4028894,11038.06575,73924,202.5315068,0,0,0,0
11,Italy,4018517,11009.63562,63243,173.2684932,0,0,0,0
12,Indonesia,3519522,9642.526027,121956,334.1260274,0,0,0,0
13,Colombia,3514665,9629.219178,86729,237.6136986,0,0,0,0
14,Poland,2813337,7707.772603,68500,187.6712329,0,0,0,0
15,Ukraine,2760229,7562.271233,82807,226.8684932,0,0,0,0
16,Malaysia,2645076,7246.783562,31016,84.97534247,0,0,0,0
17,Mexico,2553629,6996.243836,173621,475.6739726,0,0,0,0
18,South Africa,2401125,6578.424658,62676,171.7150685,0,0,0,0
19,Netherlands,2374752,6506.169863,9867,27.03287671,0,0,0,0
,,,,,,,,,
0,US,34645729,94919.80548,475132,1301.731507,0,0,0,0
1,India,24574870,67328.41096,332492,910.9369863,0,0,0,0
2,Brazil,14610807,40029.60822,424262,1162.361644,0,0,0,0
3,United Kingdom,10521815,28985.71625,82470,225.9452055,2,0,0,0
4,France,7748967,21288.37088,59971,164.3041096,1,0,0,0
5,Turkey,7273898,19928.48767,61480,168.4383562,0,0,0,0
6,Russia,7193058,19707.00822,246400,675.0684932,0,0,0,0
7,Germany,5447352,15006.47934,78321,215.1675824,2,0,1,0
8,Iran,4969259,13614.40822,76383,209.2684932,0,0,0,0
9,Spain,4440910,12233.91185,38568,105.6657534,2,0,0,0
10,Argentina,4028894,11038.06575,73924,202.5315068,0,0,0,0
11,Italy,4018517,11009.63562,63243,173.2684932,0,0,0,0
12,Indonesia,3519522,9642.526027,121956,334.1260274,0,0,0,0
13,Colombia,3514665,9629.219178,86729,237.6136986,0,0,0,0
14,Poland,2813337,7707.772603,68500,187.6712329,0,0,0,0
15,Ukraine,2760229,7562.271233,82807,226.8684932,0,0,0,0
16,Malaysia,2645076,7246.783562,31016,84.97534247,0,0,0,0
17,Mexico,2553629,6996.243836,173621,475.6739726,0,0,0,0
18,South Africa,2401125,6578.424658,62676,171.7150685,0,0,0,0
19,Philippines,2369926,6510.785714,42260,115.7808219,1,0,0,0
,,,,,,,,,
0,US,34645729,94919.80548,475132,1301.731507,0,0,0,0
1,Brazil,14610807,40029.60822,424262,1162.361644,0,0,0,0
2,India,24574870,67328.41096,332492,910.9369863,0,0,0,0
3,Russia,7193058,19707.00822,246400,675.0684932,0,0,0,0
4,Mexico,2553629,6996.243836,173621,475.6739726,0,0,0,0
5,Indonesia,3519522,9642.526027,121956,334.1260274,0,0,0,0
6,Peru,1281694,3511.490411,110329,303.9366391,0,0,2,0
7,Colombia,3514665,9629.219178,86729,237.6136986,0,0,0,0
8,Ukraine,2760229,7562.271233,82807,226.8684932,0,0,0,0
9,United Kingdom,10521815,28985.71625,82470,225.9452055,2,0,0,0
10,Germany,5447352,15006.47934,78321,215.1675824,2,0,1,0
11,Iran,4969259,13614.40822,76383,209.2684932,0,0,0,0
12,Argentina,4028894,11038.06575,73924,202.5315068,0,0,0,0
13,Poland,2813337,7707.772603,68500,187.6712329,0,0,0,0
14,Italy,4018517,11009.63562,63243,173.2684932,0,0,0,0
15,South Africa,2401125,6578.424658,62676,171.7150685,0,0,0,0
16,Turkey,7273898,19928.48767,61480,168.4383562,0,0,0,0
17,France,7748967,21288.37088,59971,164.3041096,1,0,0,0
18,Romania,1176628,3223.638356,42985,117.7671233,0,0,0,0
19,Philippines,2369926,6510.785714,42260,115.7808219,1,0,0,0
,,,,,,,,,
0,US,34645729,94919.80548,475132,1301.731507,0,0,0,0
1,Brazil,14610807,40029.60822,424262,1162.361644,0,0,0,0
2,India,24574870,67328.41096,332492,910.9369863,0,0,0,0
3,Russia,7193058,19707.00822,246400,675.0684932,0,0,0,0
4,Mexico,2553629,6996.243836,173621,475.6739726,0,0,0,0
5,Indonesia,3519522,9642.526027,121956,334.1260274,0,0,0,0
6,Peru,1281694,3511.490411,110329,303.9366391,0,0,2,0
7,Colombia,3514665,9629.219178,86729,237.6136986,0,0,0,0
8,Ukraine,2760229,7562.271233,82807,226.8684932,0,0,0,0
9,United Kingdom,10521815,28985.71625,82470,225.9452055,2,0,0,0
10,Germany,5447352,15006.47934,78321,215.1675824,2,0,1,0
11,Iran,4969259,13614.40822,76383,209.2684932,0,0,0,0
12,Argentina,4028894,11038.06575,73924,202.5315068,0,0,0,0
13,Poland,2813337,7707.772603,68500,187.6712329,0,0,0,0
14,Italy,4018517,11009.63562,63243,173.2684932,0,0,0,0
15,South Africa,2401125,6578.424658,62676,171.7150685,0,0,0,0
16,Turkey,7273898,19928.48767,61480,168.4383562,0,0,0,0
17,France,7748967,21288.37088,59971,164.3041096,1,0,0,0
18,Romania,1176628,3223.638356,42985,117.7671233,0,0,0,0
19,Philippines,2369926,6510.785714,42260,115.7808219,1,0,0,0
